Timestamp,Water in ,Water out,Solid in,Solid out,,Translated ,,Water in ,Water out,Solid in,Solid out
08/16/2020 06:36,,X,,,,,08/16/2020 06:36,,1,,
8/16/2020 7:40,,,X,,,,8/16/2020 7:40,,,1,
08/16/2020 08:06,x,,,,,,08/16/2020 08:06,1,,,
08/16/2020 08:10,,X,,X,,,08/16/2020 08:10,,1,,1
8/16/2020 11:40,,X,,,,,8/16/2020 11:40,,1,,
8/16/2020 12:00,X,,X,,,,8/16/2020 12:00,1,,1,
8/16/2020 12:55,X,,,,,,8/16/2020 12:55,1,,,
8/16/2020 14:00:00,,X,,,,,8/16/2020 14:00:00,,1,,
8/16/2020 14:10,X,,,,,,8/16/2020 14:10,1,,,
8/16/2020 14:35:00,X,,,,,,8/16/2020 14:35:00,1,,,
8/16/2020 14:50:00,X,,,,,,8/16/2020 14:50:00,1,,,
08/16/2020 15:15,X,,,,,,08/16/2020 15:15,1,,,
08/16/2020 15:22,,X,,X,,,08/16/2020 15:22,,1,,1
08/16/2020 16:05,,,x,,,,08/16/2020 16:05,,,1,
08/16/2020 16:55,x,,,,,,08/16/2020 16:55,1,,,
08/16/2020 17:07,x,,,,,,08/16/2020 17:07,1,,,
08/16/2020 17:27,X,,,,,,08/16/2020 17:27,1,,,
08/16/2020 18:11,1,,,,,,08/16/2020 18:11,1,,,
08/16/2020 18:00,,1,,,,,08/16/2020 18:00,,1,,
08/16/2020 18:51,1,,,,,,08/16/2020 18:51,1,,,
08/16/2020 18:59,,,1,,,,08/16/2020 18:59,,,1,
08/16/2020 19:07,,HH ,,,,,08/16/2020 19:07,,-1,,
08/16/2020 19:47,X,,,,,,08/16/2020 19:47,1,,,
08/16/2020 20:15,,x,,x,,,08/16/2020 20:15,,1,,1
08/16/2020 20:27,x,,,,,,08/16/2020 20:27,1,,,
08/16/2020 21:02,x,,,,,,08/16/2020 21:02,1,,,
08/16/2020 21:17,,x,,,,,08/16/2020 21:17,,1,,
08/17/2020 05:05,,1,,1,,,08/17/2020 05:05,,1,,1
08/17/2020 05:20,1,,,,,,08/17/2020 05:20,1,,,
08/17/2020 07:41,,Xx,,,,,08/17/2020 07:41,,-1,,
08/17/2020 07:52,,,,X,,,08/17/2020 07:52,,,,1
08/17/2020 07:52,,,,X,,,08/17/2020 07:52,,,,1
08/17/2020 08:11,X,,x,,,,08/17/2020 08:11,1,,1,
08/17/2020 08:26,X,,,,,,08/17/2020 08:26,1,,,
08/17/2020 08:41,X,,,,,,08/17/2020 08:41,1,,,
08/17/2020 10:02,,X,,,,,08/17/2020 10:02,,1,,
08/17/2020 12:06,X,,X,,,,08/17/2020 12:06,1,,1,
08/17/2020 12:10,,X,,,,,08/17/2020 12:10,,1,,
08/17/2020 12:21,X,,,,,,08/17/2020 12:21,1,,,
08/17/2020 12:41,X,,,,,,08/17/2020 12:41,1,,,
08/17/2020 13:06,X,,,,,,08/17/2020 13:06,1,,,
08/17/2020 14:24,,X,,,,,08/17/2020 14:24,,1,,
08/17/2020 16:10,,,x,,,,08/17/2020 16:10,,,1,
08/17/2020 16:12,,X,,,,,08/17/2020 16:12,,1,,
08/17/2020 16:18,X,,,,,,08/17/2020 16:18,1,,,
08/17/2020 16:47,x,,,,,,08/17/2020 16:47,1,,,
08/17/2020 17:18,X,,,,,,08/17/2020 17:18,1,,,
08/17/2020 17:35,,X,,X,,,08/17/2020 17:35,,1,,1
08/17/2020 17:42,X,,,,,,08/17/2020 17:42,1,,,
08/17/2020 19:13,X,,X,,,,08/17/2020 19:13,1,,1,
08/17/2020 19:28,,X,,,,,08/17/2020 19:28,,1,,
08/17/2020 19:34,X,,,,,,08/17/2020 19:34,1,,,
08/17/2020 19:56,X,,,,,,08/17/2020 19:56,1,,,
08/17/2020 21:45,,1,,,,,08/17/2020 21:45,,1,,
08/18/2020 05:05,,1,,,,,08/18/2020 05:05,,1,,
08/18/2020 05:10,,,,1,,,08/18/2020 05:10,,,,1
08/18/2020 05:35,1,,,,,,08/18/2020 05:35,1,,,
08/18/2020 07:19,,X,,,,,08/18/2020 07:19,,1,,
08/18/2020 08:05,,,x,,,,08/18/2020 08:05,,,1,
08/18/2020 08:30,,1,,1,,,08/18/2020 08:30,,1,,1
08/18/2020 08:49,1,,,,,,08/18/2020 08:49,1,,,
08/18/2020 11:20,,A,,,,,08/18/2020 11:20,,1,,
08/18/2020 12:38,,,1,,,,08/18/2020 12:38,,,1,
08/18/2020 12:39,1,,,,,,08/18/2020 12:39,1,,,
08/18/2020 12:46,,,,1,,,08/18/2020 12:46,,,,1
08/18/2020 13:07,1,,,,,,08/18/2020 13:07,1,,,
08/18/2020 16:05,,,1,,,,08/18/2020 16:05,,,1,
08/18/2020 16:16,,1,,,,,08/18/2020 16:16,,1,,
08/18/2020 17:28,1,,,,,,08/18/2020 17:28,1,,,
08/18/2020 18:17,X,,,,,,08/18/2020 18:17,1,,,
8/18/2020 18:40,,X,,X,,,8/18/2020 18:40,,1,,1
08/18/2020 19:01,X,,X,,,,08/18/2020 19:01,1,,1,
08/18/2020 19:26,X,,,,,,08/18/2020 19:26,1,,,
08/18/2020 19:31,X,,,,,,08/18/2020 19:31,1,,,
08/18/2020 19:43,X,,,,,,08/18/2020 19:43,1,,,
08/18/2020 19:46,X,,,,,,08/18/2020 19:46,1,,,
08/18/2020 20:42,,X,,,,,08/18/2020 20:42,,1,,
08/18/2020 20:50,X,,,,,,08/18/2020 20:50,1,,,
08/18/2020 22:37,x,,,,,,08/18/2020 22:37,1,,,
08/19/2020 05:15,,x,,X,,,08/19/2020 05:15,,1,,1
08/19/2020 05:40,1,,,,,,08/19/2020 05:40,1,,,
08/19/2020 07:27,,X,,,,,08/19/2020 07:27,,1,,
08/19/2020 07:59,,,x,,,,08/19/2020 07:59,,,1,
08/19/2020 08:35,X,,,,,,08/19/2020 08:35,1,,,
08/19/2020 09:09,,X,,,,,08/19/2020 09:09,,1,,
08/19/2020 09:22,,,,X,,,08/19/2020 09:22,,,,1
08/19/2020 09:28,X,,,,,,08/19/2020 09:28,1,,,
08/19/2020 09:30,X,,,,,,08/19/2020 09:30,1,,,
08/19/2020 09:38,X,,,,,,08/19/2020 09:38,1,,,
08/19/2020 11:55,,X,,,,,08/19/2020 11:55,,1,,
08/19/2020 13:30,X,,,,,,08/19/2020 13:30,1,,,
08/19/2020 14:24,,X,,X,,,08/19/2020 14:24,,1,,1
08/19/2020 16:16,,,X,,,,08/19/2020 16:16,,,1,
08/19/2020 17:06,X,,,,,,08/19/2020 17:06,1,,,
08/19/2020 17:58,,x,,,,,08/19/2020 17:58,,1,,
08/19/2020 18:34,X,,,,,,08/19/2020 18:34,1,,,
08/19/2020 19:20,X,,,,,,08/19/2020 19:20,1,,,
08/19/2020 19:25,,X,,,,,08/19/2020 19:25,,1,,
08/19/2020 19:37,,,X,,,,08/19/2020 19:37,,,1,
08/19/2020 11:45,,,x,,,,08/19/2020 11:45,,,1,
08/19/2020 21:17,x,,,,,,08/19/2020 21:17,1,,,
08/19/2020 21:34,,x,,,,,08/19/2020 21:34,,1,,
08/20/2020 05:15,,1,,,,,08/20/2020 05:15,,1,,
08/20/2020 05:20,,,,1,,,08/20/2020 05:20,,,,1
08/20/2020 05:40,1,,,,,,08/20/2020 05:40,1,,,
08/20/2020 07:26,,w,,,,,08/20/2020 07:26,,1,,
08/20/2020 09:44,,x,,X,,,08/20/2020 09:44,,1,,1
08/20/2020 08:11,,,X,,,,08/20/2020 08:11,,,1,
08/20/2020 12:11,,,X,,,,08/20/2020 12:11,,,1,
08/20/2020 12:25,,1,,,,,08/20/2020 12:25,,1,,
08/20/2020 12:38,1,,,,,,08/20/2020 12:38,1,,,
08/20/2020 16:00,,,1,,,,08/20/2020 16:00,,,1,
08/20/2020 16:03,,11,,,,,08/20/2020 16:03,,-1,,
08/20/2020 16:30,,x,,x,,,08/20/2020 16:30,,1,,1
08/20/2020 16:45,1,,,,,,08/20/2020 16:45,1,,,
08/20/2020 17:20,x,,,,,,08/20/2020 17:20,1,,,
08/20/2020 18:07,1,,,,,,08/20/2020 18:07,1,,,
08/20/2020 18:37,1,,,,,,08/20/2020 18:37,1,,,
08/20/2020 19:00,,,X,,,,08/20/2020 19:00,,,1,
8/20/2020 19:46,,1,,,,,8/20/2020 19:46,,1,,
08/20/2020 20:59,1,,,,,,08/20/2020 20:59,1,,,
08/21/2020 07:18,,x,,x,,,08/21/2020 07:18,,1,,1
08/21/2020 08:37,,,x,,,,08/21/2020 08:37,,,1,
08/21/2020 05:20,,x,,x,,,08/21/2020 05:20,,1,,1
08/21/2020 05:45,1,,,,,,08/21/2020 05:45,1,,,
08/21/2020 10:00,,x,,,,,08/21/2020 10:00,,1,,
08/21/2020 10:05,,,,x,,,08/21/2020 10:05,,,,1
08/21/2020 10:20,1,,,,,,08/21/2020 10:20,1,,,
08/21/2020 11:54,x,,X,,,,08/21/2020 11:54,1,,1,
08/21/2020 12:07,,X,,,,,08/21/2020 12:07,,1,,
08/21/2020 12:25,X,,,,,,08/21/2020 12:25,1,,,
08/21/2020 13:58,,X,,,,,08/21/2020 13:58,,1,,
8/21/2020 16:01:12,x,,,,,,8/21/2020 16:01:12,1,,,
08/21/2020 16:15,,,x,,,,08/21/2020 16:15,,,1,
08/21/2020 16:30,,x,,,,,08/21/2020 16:30,,1,,
08/21/2020 17:25,x,,,,,,08/21/2020 17:25,1,,,
08/21/2020 18:12,,x,,X,,,08/21/2020 18:12,,1,,1
08/21/2020 19:04,X,,x,,,,08/21/2020 19:04,1,,1,
08/21/2020 20:15,,x,,,,,08/21/2020 20:15,,1,,
08/21/2020 20:25,X,,,,,,08/21/2020 20:25,1,,,
08/21/2020 21:25,,x,,X,,,08/21/2020 21:25,,1,,1
08/21/2020 21:45,X,,,,,,08/21/2020 21:45,1,,,
08/22/2020 08:25,,,x,,,,08/22/2020 08:25,,,1,
08/22/2020 08:31,,Xx,,,,,08/22/2020 08:31,,-1,,
08/22/2020 08:35,,X,,1,,,08/22/2020 08:35,,1,,1
08/22/2020 05:35,,1,,1,,,08/22/2020 05:35,,1,,1
08/22/2020 09:55,x,,,,,,08/22/2020 09:55,1,,,
08/22/2020 11:40,,,,,,,08/22/2020 11:40,,,,
08/22/2020 11:57,,,X,,,,08/22/2020 11:57,,,1,
08/22/2020 13:57,,X,,X,,,08/22/2020 13:57,,1,,1
08/22/2020 14:58,,X,,,,,08/22/2020 14:58,,1,,
08/22/2020 15:08,x,,,,,,08/22/2020 15:08,1,,,
08/22/2020 16:00,,,x,,,,08/22/2020 16:00,,,1,
08/22/2020 17:00,x,,,,,,08/22/2020 17:00,1,,,
08/22/2020 17:04,,X,,,,,08/22/2020 17:04,,1,,
08/22/2020 17:30,x,,,,,,08/22/2020 17:30,1,,,
08/22/2020 18:56,,,x,,,,08/22/2020 18:56,,,1,
08/22/2020 19:01,,X,,X,,,08/22/2020 19:01,,1,,1
08/22/2020 19:19,x,,,,,,08/22/2020 19:19,1,,,
08/22/2020 19:54,X,,,,,,08/22/2020 19:54,1,,,
08/22/2020 20:20,, X,,,,,08/22/2020 20:20,,1,,
08/22/2020 20:42,X,,,,,,08/22/2020 20:42,1,,,
08/22/2020 21:20,,xx,,,,,08/22/2020 21:20,,-1,,
08/22/2020 21:25,1,,,,,,08/22/2020 21:25,1,,,
08/22/2020 21:57,,X,,,,,08/22/2020 21:57,,1,,
08/23/2020 05:25,,x,,x,,,08/23/2020 05:25,,1,,1
08/23/2020 08:05,,x,,x,,,08/23/2020 08:05,,1,,1
08/23/2020 08:10,x,,x,,,,08/23/2020 08:10,1,,1,
08/23/2020 09:01,x,,,,,,08/23/2020 09:01,1,,,
08/23/2020 09:38,x,,,,,,08/23/2020 09:38,1,,,
08/23/2020 09:55,,xx,,,,,08/23/2020 09:55,,-1,,
08/23/2020 10:00,,x,,,,,08/23/2020 10:00,,1,,
08/23/2020 10:21,x,,,,,,08/23/2020 10:21,1,,,
08/23/2020 11:55,,x,,x,,,08/23/2020 11:55,,1,,1
08/23/2020 12:10,,,x,,,,08/23/2020 12:10,,,1,
08/23/2020 12:35,x,,,,,,08/23/2020 12:35,1,,,
08/23/2020 13:35,x,,,,,,08/23/2020 13:35,1,,,
08/23/2020 14:10,,x,,,,,08/23/2020 14:10,,1,,
08/23/2020 15:50,,,x,,,,08/23/2020 15:50,,,1,
08/23/2020 19:00,X,X,,,,,08/23/2020 19:00,1,1,,
08/23/2020 19:20,X,,  X,,,,08/23/2020 19:20,1,,1,
08/23/2020 19:20,,X,,,,,08/23/2020 19:20,,1,,
08/23/2020 19:47,,,,X,,,08/23/2020 19:47,,,,1
08/23/2020 21:45,,x,,,,,08/23/2020 21:45,,1,,
08/24/2020 05:10,,x,,x,,,08/24/2020 05:10,,1,,1
08/24/2020 07:15,,X,,X,,,08/24/2020 07:15,,1,,1
08/24/2020 08:02,,,1,,,,08/24/2020 08:02,,,1,
08/24/2020 07:20,x,,,,,,08/24/2020 07:20,1,,,
08/24/2020 08:47,,X,,,,,08/24/2020 08:47,,1,,
08/24/2020 10:00,,X,,,,,08/24/2020 10:00,,1,,
08/24/2020 10:03,X,,,,,,08/24/2020 10:03,1,,,
08/24/2020 11:51,,1,,1,,,08/24/2020 11:51,,1,,1
08/24/2020 11:56,,,1,,,,08/24/2020 11:56,,,1,
08/24/2020 12:16,1,,,,,,08/24/2020 12:16,1,,,
08/24/2020 13:52,,1,,,,,08/24/2020 13:52,,1,,
08/24/2020 16:13,,,X,,,,08/24/2020 16:13,,,1,
08/24/2020 16:30,,X,,,,,08/24/2020 16:30,,1,,
08/24/2020 16:40,X,,,,,,08/24/2020 16:40,1,,,
08/24/2020 18:32,1,,,,,,08/24/2020 18:32,1,,,
08/24/2020 18:37,,1,,,,,08/24/2020 18:37,,1,,
08/24/2020 18:53,1,,1,,,,08/24/2020 18:53,1,,1,
08/24/2020 19:04,1,,,,,,08/24/2020 19:04,1,,,
08/24/2020 20:11,1,,,,,,08/24/2020 20:11,1,,,
08/24/2020 20:20,,X,,,,,08/24/2020 20:20,,1,,
08/24/2020 21:09,X,,,,,,08/24/2020 21:09,1,,,
08/24/2020 21:48,,X,,X,,,08/24/2020 21:48,,1,,1
08/24/2020 21:50,X,,,,,,08/24/2020 21:50,1,,,
08/25/2020 05:15,,x,,,,,08/25/2020 05:15,,1,,
08/25/2020 07:20,,X,,,,,08/25/2020 07:20,,1,,
08/25/2020 08:09,,,X,,,,08/25/2020 08:09,,,1,
08/25/2020 08:51,,1,,1,,,08/25/2020 08:51,,1,,1
08/25/2020 09:00,1,,,,,,08/25/2020 09:00,1,,,
08/25/2020 11:44,,1,,,,,08/25/2020 11:44,,1,,
08/25/2020 11:58,,,,1,,,08/25/2020 11:58,,,,1
8/25/2020 12:05:02,,,1,,,,8/25/2020 12:05:02,,,1,
08/25/2020 14:29,,1,,,,,08/25/2020 14:29,,1,,
08/25/2020 14:50,X,,,,,,08/25/2020 14:50,1,,,
08/25/2020 16:00,,,1,,,,08/25/2020 16:00,,,1,
08/25/2020 16:30,x,,,,,,08/25/2020 16:30,1,,,
08/25/2020 16:50,,1,,,,,08/25/2020 16:50,,1,,
08/25/2020 18:50,,x,,,,,08/25/2020 18:50,,1,,
08/25/2020 19:10,,,1,,,,08/25/2020 19:10,,,1,
08/25/2020 20:25,,11,,,,,08/25/2020 20:25,,-1,,
08/25/2020 21:35,,x,,x,,,08/25/2020 21:35,,1,,1
08/25/2020 21:48,x,,,,,,08/25/2020 21:48,1,,,
08/26/2020 05:20,,x,,x,,,08/26/2020 05:20,,1,,1
08/26/2020 05:40,1,,,,,,08/26/2020 05:40,1,,,
08/26/2020 07:23,,A,,,,,08/26/2020 07:23,,1,,
08/26/2020 08:05,,,1,,,,08/26/2020 08:05,,,1,
08/26/2020 08:56,,1,,1,,,08/26/2020 08:56,,1,,1
08/26/2020 11:00,,1,,,,,08/26/2020 11:00,,1,,
08/26/2020 12:00,,,1,,,,08/26/2020 12:00,,,1,
08/26/2020 12:48,,1,,1,,,08/26/2020 12:48,,1,,1
08/26/2020 13:03,X,,,,,,08/26/2020 13:03,1,,,
08/26/2020 15:25,,W,,,,,08/26/2020 15:25,,1,,
08/26/2020 15:53,,,X,,,,08/26/2020 15:53,,,1,
08/26/2020 16:30,1,,,,,,08/26/2020 16:30,1,,,
08/26/2020 17:00,,1,,1,,,08/26/2020 17:00,,1,,1
08/26/2020 17:40,1,,,,,,08/26/2020 17:40,1,,,
08/26/2020 19:00,W,,W,,,,08/26/2020 19:00,1,,1,
08/26/2020 19:24,1,,,,,,08/26/2020 19:24,1,,,
08/26/2020 19:21,,,,X,,,08/26/2020 19:21,,,,1
08/26/2020 19:26,,1,,,,,08/26/2020 19:26,,1,,
08/26/2020 19:55,1,,,,,,08/26/2020 19:55,1,,,
08/26/2020 21:28,,X,,,,,08/26/2020 21:28,,1,,
08/26/2020 21:33,X,,,,,,08/26/2020 21:33,1,,,
08/27/2020 05:20,,x,,x,,,08/27/2020 05:20,,1,,1
08/27/2020 07:28,, W,,,,,08/27/2020 07:28,,1,,
08/27/2020 08:05,,,X,,,,08/27/2020 08:05,,,1,
08/27/2020 08:48,X,,,,,,08/27/2020 08:48,1,,,
08/27/2020 09:10,,1,,,,,08/27/2020 09:10,,1,,
08/27/2020 12:02,,,X,,,,08/27/2020 12:02,,,1,
08/27/2020 12:16,,X,,W,,,08/27/2020 12:16,,1,,1
08/27/2020 12:16,W,,,,,,08/27/2020 12:16,1,,,
08/27/2020 14:13,W,,,,,,08/27/2020 14:13,1,,,
08/27/2020 14:32,,W,,,,,08/27/2020 14:32,,1,,
08/27/2020 15:45,,x,,,,,08/27/2020 15:45,,1,,
08/27/2020 16:00,,,x,,,,08/27/2020 16:00,,,1,
8/27/2020 17:30:50,,X,,,,,8/27/2020 17:30:50,,1,,
08/27/2020 18:15,1,,,,,,08/27/2020 18:15,1,,,
08/27/2020 19:16,,,1,,,,08/27/2020 19:16,,,1,
08/27/2020 19:31,,x,,x,,,08/27/2020 19:31,,1,,1
08/27/2020 19:54,W,,,,,,08/27/2020 19:54,1,,,
08/27/2020 20:46,X,,,,,,08/27/2020 20:46,1,,,
08/27/2020 21:04,,X,,,,,08/27/2020 21:04,,1,,
08/28/2020 05:25,,x,,,,,08/28/2020 05:25,,1,,
08/28/2020 05:30,,,,x,,,08/28/2020 05:30,,,,1
08/28/2020 07:26,,X,,,,,08/28/2020 07:26,,1,,
08/28/2020 07:29,X,,,,,,08/28/2020 07:29,1,,,
08/28/2020 08:11,,,X,,,,08/28/2020 08:11,,,1,
08/28/2020 09:04,X,,,,,,08/28/2020 09:04,1,,,
08/28/2020 09:13,,,,X,,,08/28/2020 09:13,,,,1
08/28/2020 09:31,,1,,,,,08/28/2020 09:31,,1,,
08/28/2020 11:20,,1,,,,,08/28/2020 11:20,,1,,
08/28/2020 12:00,,,1,,,,08/28/2020 12:00,,,1,
08/28/2020 13:25,,x,,,,,08/28/2020 13:25,,1,,
08/28/2020 13:30,,,,x,,,08/28/2020 13:30,,,,1
08/28/2020 13:47,x,,,,,,08/28/2020 13:47,1,,,
08/28/2020 15:21,,1,,,,,08/28/2020 15:21,,1,,
08/28/2020 15:50,,,x,,,,08/28/2020 15:50,,,1,
08/28/2020 17:15,1,,,,,,08/28/2020 17:15,1,,,
08/28/2020 17:20,,1,,,,,08/28/2020 17:20,,1,,
08/28/2020 18:57,,a,,,,,08/28/2020 18:57,,1,,
08/28/2020 19:02,,,,a,,,08/28/2020 19:02,,,,1
08/28/2020 19:05,,,a,,,,08/28/2020 19:05,,,1,
08/28/2020 19:20,a,,,,,,08/28/2020 19:20,1,,,
08/28/2020 20:07,1,,,,,,08/28/2020 20:07,1,,,
08/28/2020 20:27,1,,,,,,08/28/2020 20:27,1,,,
08/28/2020 20:48,,1,,,,,08/28/2020 20:48,,1,,
08/28/2020 22:30,,1,,,,,08/28/2020 22:30,,1,,
08/29/2020 06:40,,1,,1,,,08/29/2020 06:40,,1,,1
08/29/2020 08:00,,,C,,,,08/29/2020 08:00,,,1,
08/29/2020 08:43,,W,,,,,08/29/2020 08:43,,1,,
08/29/2020 09:15,,1,,1,,,08/29/2020 09:15,,1,,1
08/29/2020 09:35,1,,,,,,08/29/2020 09:35,1,,,
08/29/2020 11:50,,x,,,,,08/29/2020 11:50,,1,,
08/29/2020 12:03,,,x,,,,08/29/2020 12:03,,,1,
08/29/2020 14:18,,X,,,,,08/29/2020 14:18,,1,,
08/29/2020 14:38,X,,,,,,08/29/2020 14:38,1,,,
08/29/2020 15:33,,Xx,,,,,08/29/2020 15:33,,-1,,
8/29/2020 16:44,X,,x,,,,8/29/2020 16:44,1,,1,
08/29/2020 16:36,,X,,,,,08/29/2020 16:36,,1,,
08/29/2020 16:49,X,,,,,,08/29/2020 16:49,1,,,
08/29/2020 16:54,X,,,,,,08/29/2020 16:54,1,,,
08/29/2020 17:26,X,,,,,,08/29/2020 17:26,1,,,
08/29/2020 19:09,,,x,,,,08/29/2020 19:09,,,1,
08/29/2020 19:19,,x,,,,,08/29/2020 19:19,,1,,
08/29/2020 19:19,,,,x,,,08/29/2020 19:19,,,,1
08/29/2020 20:12,W,,,,,,08/29/2020 20:12,1,,,
08/29/2020 20:39,,Q,,W,,,08/29/2020 20:39,,1,,1
08/30/2020 06:00,,x,,x,,,08/30/2020 06:00,,1,,1
08/30/2020 08:10,,,X,,,,08/30/2020 08:10,,,1,
08/30/2020 08:15,,X,,,,,08/30/2020 08:15,,1,,
08/30/2020 08:29,X,,,,,,08/30/2020 08:29,1,,,
08/30/2020 09:31,X,,,,,,08/30/2020 09:31,1,,,
08/30/2020 09:51,,X,,X,,,08/30/2020 09:51,,1,,1
08/30/2020 10:39,X,,,,,,08/30/2020 10:39,1,,,
08/30/2020 11:55,,c,,,,,08/30/2020 11:55,,1,,
08/30/2020 12:04,,,c,,,,08/30/2020 12:04,,,1,
08/30/2020 12:18,x,,,,,,08/30/2020 12:18,1,,,
08/30/2020 13:18,W,,,,,,08/30/2020 13:18,1,,,
08/30/2020 13:23,,X,,,,,08/30/2020 13:23,,1,,
08/30/2020 14:10,x,,,,,,08/30/2020 14:10,1,,,
08/30/2020 14:15,,X,,,,,08/30/2020 14:15,,1,,
08/30/2020 16:26,,,C,,,,08/30/2020 16:26,,,1,
08/30/2020 16:31,,C,,1,,,08/30/2020 16:31,,1,,1
08/30/2020 16:42,1,,,,,,08/30/2020 16:42,1,,,
08/30/2020 18:45,,1,,,,,08/30/2020 18:45,,1,,
